id,title,url,date,feed,type,description,image,_url,site_name,image:width,image:height,locale,latitude,longitude,streetaddress,city,state,image:type,updated_time,image:url,email
66,This Is How Your Hyperpartisan Political News Gets Made,https://www.buzzfeed.com/craigsilverman/how-the-hyperpartisan-sausage-is-made,2017-03-02T03:05:37,instapaper,article,"A liberal and a conservative published almost exactly the same article, and BuzzFeed News traced them back to the same owners.","https://img.buzzfeed.com/buzzfeed-static/static/2017-02/27/17/enhanced/buzzfeed-prod-fastlane-03/original-8129-1488233702-11.jpg?crop=990:518;0,53",https://www.buzzfeed.com/craigsilverman/how-the-hyperpartisan-sausage-is-made,BuzzFeed,,,,,,,,,,,,
2,What’s next for the Globe after Brian McGrory’s message to readers?,https://dankennedy.net/2017/12/23/whats-next-for-the-globe-after-brian-mcgrorys-message-to-readers/,2017-12-24T00:15:28,newsblur,article,What’s next for The Boston Globe and the burgeoning #MeToo sexual-harassment story now dominating virtually every facet of society? The Globe is the only local news organization with the size…,https://secure.gravatar.com/blavatar/aa09390c6b26329fd16c35859ad45875?s=200&ts=1516716105,https://dankennedy.net/2017/12/23/whats-next-for-the-globe-after-brian-mcgrorys-message-to-readers/,Media Nation,200,200,en_US,,,,,,,,,
4,The Primer - Floyd Mayweather vs Conor McGregor,https://www.fightprimer.com/blog/2017/8/21/the-primer-floyd-mayweather-vs-conor-mcgregor,2017-08-24T20:46:17,instapaper,article,"Note: This feature is composed of both written and video content. Please make sure to watch the videos throughout as they provide much of the analysis.   Rankings and consistency matter in combat sports, but only up to a point. Unlike any other major sport you care to name, combat sports are happy t",http://static1.squarespace.com/static/5999f691be42d6f75fa626d6/t/599c1975e3df2855d5b2a27c/1503402384538/Primer+Poster+2.png?format=1000w,https://www.fightprimer.com/blog/2017/8/21/the-primer-floyd-mayweather-vs-conor-mcgregor,The Fight Primer,1000,562,,40.7207559,-74.0007613,,,,,,,
67,Trump hotel may be political capital of the nation's capital,https://apnews.com/cc2e2c2b6b4d4417afff3aa5f768be10,2017-03-06T02:48:24,instapaper,article,"
              WASHINGTON (AP) — At a circular booth in the middle of the Trump International Hotel's balcony restaurant, President Donald Trump dined on his steak — well-done, with ketchu",https://storage.googleapis.com/afs-prod/media/media:9a92c51b8e0b412eb13d231dd6891da7/800.jpeg,https://apnews.com/cc2e2c2b6b4d4417afff3aa5f768be10,AP News,800,600,en_US,,,,,,,,,
68,'They Really Want to Blow This Place Up': Scenes From Trump's State Department,https://www.theatlantic.com/international/archive/2017/03/state-department-trump/517965/,2017-03-02T01:11:31,instapaper,article,Anxiety and listless days as a foreign-policy bureaucracy confronts the possibility of radical change,https://cdn.theatlantic.com/assets/media/img/mt/2017/02/GettyImages_632781806/facebook.jpg?1488225747,https://www.theatlantic.com/international/archive/2017/03/state-department-trump/517965/,The Atlantic,,,en_US,,,,,,,,,
69,Obama Administration Rushed to Preserve Intelligence of Russian Election Hacking,https://www.nytimes.com/2017/03/01/us/politics/obama-trump-russia-election-hacking.html,2017-03-02T01:35:27,instapaper,article,Obama administration officials scrambled to ensure intelligence of connections between the Trump campaign and Russian officials was preserved after they left office.,https://static01.nyt.com/images/2017/03/02/us/02intel1/02intel1-facebookJumbo.jpg,https://www.nytimes.com/2017/03/01/us/politics/obama-trump-russia-election-hacking.html?nytmobile=0,,,,,,,,,,,,,
70,DREAMer Who Got Arrested After Speaking Out to Be Deported Without Hearing,https://www.vice.com/en_us/article/4xpvpp/dreamer-who-got-arrested-after-speaking-out-to-be-deported-without-hearing-vgtrn,2017-03-04T16:26:06,instapaper,article,ICE officials claim that the immigration program Daniela Vargas's parents used to come into the country doesn't grant its participants the right to a hearing.,"https://video-images.vice.com/articles/58b9a1f8e183e12c00b6164c/lede/1488562308736-AP_17060697479574.jpeg?crop=0.7735xw:0.7726xh;0.1105xw,0xh&resize=1200:*",https://www.vice.com/en_us/article/dreamer-who-got-arrested-after-speaking-out-to-be-deported-without-hearing-vgtrn,Vice,1200,675,en_us,,,,,,image/jpeg,,,
63,The Onion Struggles to Lampoon Trump,https://www.newyorker.com/magazine/2017/03/20/the-onion-struggles-to-lampoon-trump,2017-03-14T23:45:44,instapaper,article,"At a headline pitch meeting, the writers of the satirical newspaper try to stay away from low-hanging fruit.","https://media.newyorker.com/photos/59097f1bc14b3c606c109b94/16:9/w_1200,h_630,c_limit/170320_r29594web.jpg",http://www.newyorker.com/magazine/2017/03/20/the-onion-struggles-to-lampoon-trump,The New Yorker,,,en_US,,,,,,,,,
65,Opinion | How Our Strategy Against Terrorism Gave Us Trump,https://www.nytimes.com/2017/03/04/opinion/sunday/how-our-strategy-against-terrorism-gave-us-trump.html,2017-03-07T21:16:03,instapaper,article,A bipartisan obsession with Islamist terrorism has distorted America’s understanding of its interests and poisoned our politics.,https://static01.nyt.com/images/2017/03/05/opinion/sunday/05finer/05finer-facebookJumbo-v2.jpg,https://www.nytimes.com/2017/03/04/opinion/sunday/how-our-strategy-against-terrorism-gave-us-trump.html,,,,,,,,,,,,,
48,The (Re)selling of Maria Sharapova ,https://longreads.com/2017/04/25/the-reselling-of-maria-sharapova/,2017-04-26T02:50:41,instapaper,article,"On the longevity of Maria Sharapova, who has built a brand beyond the bounds of her tennis stardom that has made her incredibly wealthy, but still striving for more.",https://longreadsblog.files.wordpress.com/2017/04/ap_1603072040154784.jpg?w=1200,https://longreads.com/2017/04/25/the-reselling-of-maria-sharapova/,Longreads,1200,918,en_US,,,,,,,,,
61,'London Bridge is down': the secret plan for the days after the Queen’s death,http://www.theguardian.com/uk-news/2017/mar/16/what-happens-when-queen-elizabeth-dies-london-bridge,2017-03-19T22:59:30,instapaper,article,"The long read: She is venerated around the world. She has outlasted 12 US presidents. She stands for stability and order. But her kingdom is in turmoil, and her subjects are in denial that her reign will ever end. That’s why the palace has a plan.",https://i.guim.co.uk/img/media/9953cf740343550403836d6f3230eafcabaca47c/151_0_2193_1316/master/2193.jpg?w=1200&h=630&q=55&auto=format&usm=12&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly91cGxvYWRzLmd1aW0uY28udWsvMjAxOC8wMS8xMi9mX2QucG5n&s=eb5dece186d44cafd2c3effcc1f13392,http://www.theguardian.com/uk-news/2017/mar/16/what-happens-when-queen-elizabeth-dies-london-bridge,the Guardian,1200,720,,,,,,,,,,
80,2016 Election Map,https://xkcd.com/1939/,2018-01-09T00:48:44,newsblur,,,,https://xkcd.com/1939/,,,,,,,,,,,,,
79,The Last Jedi Isn’t for the Fans—It’s About the Fans,https://slate.com/arts/2018/01/the-last-jedi-is-a-star-wars-movie-about-fandom-and-the-lure-of-myth.html,2018-01-07T20:45:20,instapaper,article,When do we need a legend? And how long will it last for?,https://compote.slate.com/images/14ddefc3-ca12-4adc-ab4d-27b91143a69a.jpg?width=780&height=520&rect=1560x1040&offset=0x0,https://slate.com/arts/2018/01/the-last-jedi-is-a-star-wars-movie-about-fandom-and-the-lure-of-myth.html,Slate Magazine,,,,,,,,,,,,
55,The Father Of The Web Is Worried About How Ugly It's Become,https://www.npr.org/sections/alltechconsidered/2017/04/04/522593360/the-father-of-the-web-is-worried-about-how-ugly-its-become,2017-04-05T21:49:37,instapaper,article,"When he invented the Web 28 years ago, Tim Berners-Lee saw it as a way to break apart silos and connect the world. Now he's increasingly troubled about its dark side, but he believes it can be fixed.",https://media.npr.org/assets/img/2017/04/04/gettyimages-143034371-1-_wide-aa4549c59af1a938aa95ef6b2e50d351ecc39049.jpg?s=1400,http://www.npr.org/sections/alltechconsidered/2017/04/04/522593360/the-father-of-the-web-is-worried-about-how-ugly-its-become,NPR.org,,,,,,,,,,,,
71,Opinion | The Gambler’s Ruin of Small Cities (Wonkish),https://www.nytimes.com/2017/12/30/opinion/the-gamblers-ruin-of-small-cities-wonkish.html,2017-12-31T20:06:18,instapaper,article,"Small industrial cities are accidents of history, and sometimes their luck runs out.",https://static01.nyt.com/images/2014/11/12/opinion/krugman-circular/krugman-circular-facebookJumbo-v5.jpg,https://www.nytimes.com/2017/12/30/opinion/the-gamblers-ruin-of-small-cities-wonkish.html,,,,,,,,,,,,,
72,"Academy Fight Song, Part 2",http://thescoop.org/archives/2017/12/28/academy-fight-song-part-2/,2018-01-01T00:07:54,instapaper,,,,http://thescoop.org/archives/2017/12/28/academy-fight-song-part-2/,,,,,,,,,,,,,
78,A Guide to All The Last Jedi’s References to Other (Non-Star Wars) Movies,https://slate.com/arts/2017/12/all-the-last-jedis-references-to-other-movies.html,2018-01-07T21:40:29,instapaper,article,"The Last Jedi includes homages to The Wild Bunch, Wings, Brazil, The Long Goodbye, Vertigo, and more. ",https://compote.slate.com/images/4b18fb2b-1072-4825-8bba-c9ec3ebf22f9.jpeg?width=780&height=520&rect=1560x1040&offset=0x0,https://slate.com/arts/2017/12/all-the-last-jedis-references-to-other-movies.html,Slate Magazine,,,,,,,,,,,,
35,"Oldest Fossils of Homo Sapiens Found in Morocco, Altering History of Our Species",https://www.nytimes.com/2017/06/07/science/human-fossils-morocco.html,2017-06-12T21:55:13,instapaper,article,"Newly discovered fossils indicate Homo sapiens were present in Africa 300,000 years ago, scientists reported. Until now, the earliest evidence dated back just 195,000 years.",https://static01.nyt.com/images/2017/06/08/science/08FOSSIL1/08FOSSIL1-facebookJumbo.jpg,https://www.nytimes.com/2017/06/07/science/human-fossils-morocco.html,,,,,,,,,,,,,
73,"Right Here, Right Now",https://earthobservatory.nasa.gov/IOTD/view.php?id=91494&src=eorss-iotd,2017-12-31T00:07:59,newsblur,,,,https://earthobservatory.nasa.gov/IOTD/view.php?id=91494&src=eorss-iotd,,,,,,,,,,,,,
77,Thoughts on Dr. King's Day,https://talkingpointsmemo.com/edblog/thoughts-on-dr-kings-day,2018-01-15T19:46:38,newsblur,article,A few more miscellaneous thoughts on Martin Luther King Jr. on this day of remembrance. One: King was a troublemaker....,https://dawm7kda6y2v0.cloudfront.net/uploads/2018/01/GettyImages-517334478-e1516038059948-654x362.jpg,http://talkingpointsmemo.com/edblog/thoughts-on-dr-kings-day,TPM,,,,,,,,,,,,
